"Entry ID","Deposition Date","Release Date","PDB ID",
"6WTJ","2020-05-02","2020-05-20","6WTJ",
"6WTM","2020-05-03","2020-05-20","6WTM",
"5RGQ","2020-04-07","2020-04-15","5RGQ",
"5RGR","2020-04-07","2020-04-15","5RGR",
"5RGO","2020-04-07","2020-04-15","5RGO",
"5RGP","2020-04-07","2020-04-15","5RGP",
"5RGM","2020-04-07","2020-04-15","5RGM",
"5RGN","2020-04-07","2020-04-15","5RGN",
"5RGK","2020-04-07","2020-04-15","5RGK",
"5RGL","2020-04-07","2020-04-15","5RGL",
"5RGS","2020-04-07","2020-04-15","5RGS",
"5RG1","2020-03-18","2020-04-15","5RG1",
"5RG2","2020-03-18","2020-04-15","5RG2",
"5RG3","2020-03-18","2020-04-15","5RG3",
"5RGI","2020-04-07","2020-04-15","5RGI",
"5RGJ","2020-04-07","2020-04-15","5RGJ",
"5RGG","2020-04-07","2020-04-15","5RGG",
"5RGH","2020-04-07","2020-04-15","5RGH",
"7CBT","2020-06-13","2020-09-02","7CBT",
"7K0F","2020-09-04","2021-01-13","7K0F",
"7K0E","2020-09-04","2021-07-07","7K0E",
"6M2Q","2020-02-28","2020-04-15","6M2Q",
"6M2N","2020-02-28","2020-04-15","6M2N",
"7JKV","2020-07-29","2020-09-23","7JKV",
"5RHB","2020-05-16","2020-06-10","5RHB",
"5RHC","2020-05-16","2020-06-10","5RHC",
"5RHD","2020-05-16","2020-06-10","5RHD",
"7C6S","2020-05-22","2020-09-02","7C6S",
"7JPY","2020-08-10","2020-12-23","7JPY",
"7C6U","2020-05-22","2020-09-02","7C6U",
"7JQ4","2020-08-10","2020-12-23","7JQ4",
"7JQ3","2020-08-10","2020-12-23","7JQ3",
"7JQ5","2020-08-10","2020-12-23","7JQ5",
"7JQ0","2020-08-10","2020-12-23","7JQ0",
"7JQ2","2020-08-10","2020-12-23","7JQ2",
"7JQ1","2020-08-10","2020-12-23","7JQ1",
"7JPZ","2020-08-10","2020-12-23","7JPZ",
"6WTK","2020-05-03","2020-05-20","6WTK",
"7ALI","2020-10-06","2020-12-02","7ALI",
"7ALH","2020-10-06","2020-12-02","7ALH",
"5RFP","2020-03-15","2020-03-25","5RFP",
"5RFQ","2020-03-15","2020-03-25","5RFQ",
"5RFN","2020-03-15","2020-03-25","5RFN",
"5RG0","2020-03-15","2020-03-25","5RG0",
"5RFO","2020-03-15","2020-03-25","5RFO",
"5RFL","2020-03-15","2020-03-25","5RFL",
"5RFM","2020-03-15","2020-03-25","5RFM",
"5RFJ","2020-03-15","2020-03-25","5RFJ",
"5RFK","2020-03-15","2020-03-25","5RFK",
"5RFX","2020-03-15","2020-03-25","5RFX",
"5RFY","2020-03-15","2020-03-25","5RFY",
"5RFV","2020-03-15","2020-03-25","5RFV",
"5RFW","2020-03-15","2020-03-25","5RFW",
"5RFT","2020-03-15","2020-03-25","5RFT",
"5RFU","2020-03-15","2020-03-25","5RFU",
"5RFR","2020-03-15","2020-03-25","5RFR",
"5RFS","2020-03-15","2020-03-25","5RFS",
"5RFZ","2020-03-15","2020-03-25","5RFZ",
"5RF0","2020-03-15","2020-03-25","5RF0",
"5REO","2020-03-15","2020-03-25","5REO",
"5RF1","2020-03-15","2020-03-25","5RF1",
"5REP","2020-03-15","2020-03-25","5REP",
